epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,9616.04,1.41346,1.03374,1.36305,0.87403,0.82276,0.88559,0.55956,1.25857,0.78846,1.3502,0.004015,0.004015,0.004015
135,9703.12,1.40805,1.02585,1.35345,0.88249,0.8183,0.8869,0.56194,1.2606,0.78485,1.35001,0.00397,0.00397,0.00397
136,9795.97,1.41916,1.04094,1.354,0.88478,0.82188,0.88815,0.56236,1.25867,0.7816,1.34775,0.003925,0.003925,0.003925
137,9972.15,1.41787,1.03762,1.35868,0.88142,0.825,0.88642,0.56169,1.2582,0.78078,1.34867,0.00388,0.00388,0.00388
138,10059.1,1.41798,1.03445,1.35807,0.88256,0.81794,0.8879,0.56253,1.26002,0.78024,1.34733,0.003835,0.003835,0.003835
139,10151.1,1.41818,1.03545,1.35351,0.88665,0.81424,0.88659,0.56038,1.26033,0.7834,1.34739,0.00379,0.00379,0.00379
140,10238.6,1.41525,1.03041,1.3517,0.87873,0.8223,0.88835,0.56316,1.25899,0.78222,1.34716,0.003745,0.003745,0.003745
141,10320.4,1.41628,1.03371,1.35433,0.89551,0.81044,0.88917,0.56431,1.25855,0.78029,1.34631,0.0037,0.0037,0.0037
142,10514.6,1.41274,1.02686,1.3509,0.88875,0.81581,0.88908,0.56383,1.25767,0.77788,1.34629,0.003655,0.003655,0.003655
143,10593.4,1.41642,1.03303,1.35755,0.89303,0.81098,0.88754,0.56381,1.25627,0.77866,1.34469,0.00361,0.00361,0.00361
144,10671.6,1.403,1.01593,1.35266,0.89297,0.81517,0.8874,0.56394,1.2537,0.7779,1.34337,0.003565,0.003565,0.003565
145,10749.5,1.41136,1.03366,1.35252,0.88761,0.81391,0.88685,0.5634,1.25399,0.78038,1.34271,0.00352,0.00352,0.00352
146,10826.8,1.40509,1.0227,1.3476,0.88055,0.81723,0.88635,0.56284,1.25563,0.77933,1.34415,0.003475,0.003475,0.003475
147,10905.2,1.40674,1.02692,1.3556,0.88526,0.81649,0.88733,0.5625,1.25472,0.77907,1.34378,0.00343,0.00343,0.00343
148,10984.3,1.40509,1.02113,1.34548,0.88636,0.81751,0.88776,0.56332,1.25349,0.77566,1.34266,0.003385,0.003385,0.003385
149,11061.3,1.40103,1.02685,1.35308,0.88619,0.81876,0.8885,0.56395,1.25254,0.77522,1.34311,0.00334,0.00334,0.00334
150,11140,1.40083,1.01825,1.34378,0.89008,0.81874,0.88844,0.56456,1.25201,0.77694,1.34405,0.003295,0.003295,0.003295
151,11219.2,1.40792,1.01764,1.34229,0.88405,0.82206,0.88983,0.56504,1.25271,0.77599,1.34216,0.00325,0.00325,0.00325
152,11297.7,1.40373,1.01613,1.34177,0.88463,0.82061,0.88909,0.56399,1.25248,0.77584,1.34326,0.003205,0.003205,0.003205
153,11376.4,1.39282,1.01336,1.34857,0.8927,0.81395,0.8897,0.56565,1.25105,0.77366,1.34299,0.00316,0.00316,0.00316
154,11454.6,1.39664,1.00567,1.34025,0.8916,0.81454,0.88815,0.56425,1.25182,0.77392,1.3427,0.003115,0.003115,0.003115
155,11533.6,1.39874,1.01277,1.34165,0.88881,0.82501,0.89002,0.5655,1.25118,0.77265,1.34133,0.00307,0.00307,0.00307
156,11612.8,1.39886,1.00509,1.34123,0.89576,0.81549,0.89144,0.56478,1.252,0.77188,1.34078,0.003025,0.003025,0.003025
157,11691.2,1.39368,1.00964,1.34676,0.88658,0.82257,0.89149,0.56684,1.25051,0.77108,1.34034,0.00298,0.00298,0.00298
158,11769.9,1.41055,1.02735,1.34395,0.88627,0.82317,0.89078,0.56615,1.25055,0.77324,1.34035,0.002935,0.002935,0.002935
159,11846.5,1.3915,0.9963,1.3412,0.89059,0.82144,0.8913,0.5664,1.25114,0.77083,1.34044,0.00289,0.00289,0.00289
160,11924.4,1.39888,1.01207,1.34359,0.89484,0.81674,0.89104,0.56739,1.25024,0.76879,1.33949,0.002845,0.002845,0.002845
161,12001.4,1.38623,1.00014,1.34172,0.88731,0.82028,0.89099,0.56665,1.25003,0.76789,1.339,0.0028,0.0028,0.0028
162,12080.7,1.38944,0.99078,1.33555,0.89039,0.81999,0.8908,0.56734,1.24761,0.76492,1.33773,0.002755,0.002755,0.002755
163,12159.7,1.38972,0.99287,1.33494,0.88263,0.82262,0.89147,0.56761,1.24877,0.76305,1.33751,0.00271,0.00271,0.00271
164,12239,1.40133,0.99639,1.33619,0.88694,0.81967,0.89184,0.56815,1.24932,0.76306,1.33779,0.002665,0.002665,0.002665
165,12318,1.39062,0.99975,1.34465,0.88992,0.81969,0.89158,0.56818,1.24954,0.76265,1.33711,0.00262,0.00262,0.00262
166,12396.7,1.38764,1.00351,1.34287,0.89731,0.81753,0.89259,0.56786,1.24918,0.76205,1.33635,0.002575,0.002575,0.002575
167,12476,1.38392,0.98629,1.33199,0.89827,0.81488,0.89247,0.5678,1.24819,0.76187,1.33574,0.00253,0.00253,0.00253
168,12555,1.39314,1.00214,1.34386,0.89081,0.81897,0.8915,0.5677,1.24855,0.76218,1.3361,0.002485,0.002485,0.002485
169,12634,1.38861,0.9867,1.33489,0.88469,0.82116,0.89166,0.56826,1.24701,0.76086,1.33495,0.00244,0.00244,0.00244
170,12712.5,1.38731,0.99011,1.33768,0.88725,0.82172,0.89265,0.56834,1.24572,0.76045,1.33441,0.002395,0.002395,0.002395
171,12792.4,1.38258,0.99279,1.33804,0.88531,0.82198,0.89169,0.56749,1.24572,0.76111,1.33388,0.00235,0.00235,0.00235
172,12871.4,1.38841,0.99237,1.33264,0.89213,0.81566,0.89158,0.56818,1.24612,0.76121,1.33495,0.002305,0.002305,0.002305
173,12949.7,1.39028,1.00052,1.33905,0.8928,0.81459,0.89106,0.56871,1.24533,0.76043,1.33412,0.00226,0.00226,0.00226
174,13027.8,1.38587,0.99245,1.33834,0.89637,0.81487,0.892,0.56935,1.24487,0.75901,1.33384,0.002215,0.002215,0.002215
175,13105.7,1.38017,0.98764,1.33613,0.89528,0.8181,0.89199,0.56956,1.24572,0.75863,1.33413,0.00217,0.00217,0.00217
176,13183.8,1.38417,0.99026,1.33784,0.9011,0.81674,0.89322,0.56982,1.2456,0.75857,1.33335,0.002125,0.002125,0.002125
177,13261.2,1.3784,0.9816,1.33114,0.89806,0.81806,0.89399,0.56952,1.24588,0.75864,1.33364,0.00208,0.00208,0.00208
178,13340.2,1.3824,0.98513,1.32677,0.8852,0.82546,0.89387,0.56956,1.24553,0.75707,1.33375,0.002035,0.002035,0.002035
179,13418.9,1.37185,0.97736,1.33596,0.88875,0.82687,0.8941,0.56952,1.24517,0.75674,1.33373,0.00199,0.00199,0.00199
180,13497.6,1.38144,0.99424,1.33218,0.8885,0.82528,0.89391,0.56915,1.24478,0.75644,1.33325,0.001945,0.001945,0.001945
181,13576.6,1.37817,0.98151,1.32804,0.89084,0.82369,0.89406,0.56912,1.24482,0.75462,1.33316,0.0019,0.0019,0.0019
182,13656.4,1.38895,0.98722,1.32824,0.89186,0.82064,0.89417,0.57006,1.24478,0.75369,1.33339,0.001855,0.001855,0.001855
183,13734.5,1.3731,0.97907,1.33214,0.89083,0.8228,0.89461,0.56966,1.24445,0.75276,1.33333,0.00181,0.00181,0.00181
184,13813.5,1.37627,0.97875,1.32503,0.89127,0.82273,0.89427,0.57002,1.24404,0.75234,1.33323,0.001765,0.001765,0.001765
185,13892.4,1.37458,0.97961,1.3305,0.89131,0.82401,0.89489,0.57095,1.244,0.75229,1.3328,0.00172,0.00172,0.00172
186,13971.3,1.38596,0.98181,1.33714,0.89546,0.82155,0.89358,0.56976,1.2437,0.75236,1.33243,0.001675,0.001675,0.001675
187,14050.5,1.37672,0.97619,1.32524,0.89803,0.82071,0.89372,0.57025,1.24369,0.75215,1.33247,0.00163,0.00163,0.00163
188,14129.7,1.37819,0.97765,1.32812,0.89893,0.82147,0.89448,0.57013,1.24336,0.75001,1.3322,0.001585,0.001585,0.001585
